a: & eI
ab: A/b &/b
abbes: &/b/eI/z &/b/E/z
abe: eI/b A/b/eI
absent: &/b/s/@/n/t &/b/s/E/n/t
adel: @/d/E/l A/d/@/l
abuse: @/b/j/u/z @/b/j/u/s
acerbate: &/s/@/r/b/eI/t @/s/(@)/r/b/I/t
acuminate: @/k/j/u/m/@/n/eI/t @/k/j/u/m/@/n/I/t
addict: @/d/I/k/t &/d/I/k/t
adulterate: @/d/@/l/t/@/r/eI/t @/d/@/l/t/@/r/I/t
advocate: &/d/v/@/k/eI/t &/d/v/@/k/@/t
affect: @/f/E/k/t &/f/E/k/t
affiliate: @/f/I/l/i/eI/t @/f/I/l/i/I/t
affix: @/f/I/k/s &/f/I/k/s
ager: eI/dZ/@/r A/j/E/R
agent: eI/dZ/@/n/t @/Z/A/N
agglutinate: @/g/l/u/t/-/n/eI/t @/g/l/u/t/-/n/I/t
albert: &/l/b/@/r/t A/l/b/E/R
albion: &/l/b/i/@/n A/l/b/j/O/N
alcazar: &/l/k/@/z/A/r &/l/k/&/z/@/r
alexis: @/l/E/k/s/I/s A/l/E/k/s/i
all: O/l A/l
alloy: &/l/Oi @/l/Oi
ally: @/l/aI &/l/aI &/l/i
alternate: O/l/t/@/r/n/eI/t O/l/t/@/r/n/I/t
amen: eI/m/E/n A/m/E/n
amor: eI/m/O/R A/m/oU/R
amis: eI/m/I/s &/m/i
and: &/n/d -/n
angel: eI/n/dZ/@/l A/n/h/@/l
animate: &/n/@/m/@/t &/n/@/m/eI/t
annex: &/n/E/k/s @/n/E/k/s
apache: @/p/&/S @/p/&/tS/i
appropriate: @/p/r/oU/p/r/i/eI/t @/p/r/oU/p/r/i/I/t
approximate: @/p/r/A/k/s/@/m/eI/t @/p/r/A/k/s/@/m/I/t
aragon: A/R/A/g/O/n A/R/A/g/O/N
arc: A/r/k A/R/k
articulate: A/r/t/I/k/j/@/l/eI/t A/r/t/I/k/j/@/l/I/t
associate: @/s/oU/S/i/eI/t @/s/oU/S/i/I/t
ate: eI/t eI/t/i
attache: &/t/@/S/eI @/t/&/S/i
attenuate: @/t/E/n/j/u/eI/t @/t/E/n/j/u/I/t
audio: O/d/i/oU O/d/i/@
august: O/g/@/s/t AU/g/U/s/t
aux: oU oU/z

baden: b/A/d/-/n b/eI/d/-/n
bain: b/eI/n b/&/N
ban: b/&/n b/A/n
banc: b/&/N/k b/&/N
bang: b/&/N b/A/N
baron: b/&/r/@/n b/A/R/O/N
barre: b/A/R b/A/R/eI
bas: b/A b/A/s
bass: b/&/s b/eI/s
baton: b/&/t/A/n b/eI/t/-/n
beaux: b/oU b/oU/z
begin: b/I/g/I/n b/E/g/I/n
benjamin: b/E/n/dZ/@/m/@/n b/&/N/Z/A/m/A/N
bien: b/j/&/N b/j/@/n
billet: b/I/l/I/t b/i/j/eI
blab: b/l/&/b b/l/A/b
blanche: b/l/A/N/S b/l/&/n/tS
blanches: b/l/A/N/S b/l/&/n/tS
blessed: b/l/E/s/t b/l/E/s/I/d
bolivar: b/A/l/@/v/@/R b/O/l/i/v/A/R
bon: b/O/N b/O/n
bons: b/O/N b/O/N/z
bonnet: b/A/n/I/t b/O/n/E
borges: b/O/R/h/E/s b/O/R/g/E/s
bouche: b/u/S b/u/S/eI
bourbon: b/(@)/r/b/@/n b/U/R/b/@/N
bow: b/AU b/oU
brachiate: b/r/eI/k/i/eI/t b/r/eI/k/i/I/t
breton: b/r/E/t/-/n b/R/@/t/O/N
brute: b/r/u/t b/R/u/t/eI
buoy: b/u/i b/Oi
burg: b/(@)/R/g b/u/R/g
bulganin: b/U/l/g/A/n/I/n b/U/l/g/A/n/j/I/n

cabochon: k/&/b/@/S/A/n k/&/b/O/S/O/N
calve: k/&/v k/A/l/v/eI
cam: k/&/m k/A/m
can: k/&/n k/A/n
canada: k/&/n/@/d/@ k/@/n/j/A/d/A
